Fecha,IPC,re_USD,re_MXN,V_P1,V_P2
01/01/90, 3.8500 ,,,,
01/02/90, 1.8400 ,,,,
01/03/90, 1.5300 ,,,,
01/04/90, 1.9600 ,,,,
01/05/90, 2.3100 ,,,,
01/06/90, 2.5100 ,,,,
01/07/90, 2.0000 ,,,,
01/08/90, 1.8100 ,,,,
01/09/90, 1.6300 ,,,,
01/10/90, 1.6100 ,,,,
01/11/90, 2.1600 ,,,,
01/12/90, 2.8500 ,,,,
01/01/91, 2.6700 ,,,,
01/02/91, 1.9400 ,,,,
01/03/91, 1.4900 ,,,,
01/04/91, 1.0900 ,,,,
01/05/91, 0.9500 ,,,,
01/06/91, 0.9500 ,,,,
01/07/91, 0.8900 ,,,,
01/08/91, 0.9100 ,,,,
01/09/91, 1.3900 ,,,,
01/10/91, 1.3800 ,,,,
01/11/91, 0.9500 ,,,,
01/12/91, 1.7800 ,,,,
01/01/92, 1.8500 ,,,,
01/02/92, 1.1000 ,,,,
01/03/92, 0.9100 ,,,,
01/04/92, 0.9300 ,,,,
01/05/92, 1.2200 ,,,,
01/06/92, 0.9900 ,,,,
01/07/92, 0.8200 ,,,,
01/08/92, 0.8700 ,,,,
01/09/92, 1.1200 ,,,,
01/10/92, 0.6700 ,,,,
01/11/92, 0.7100 ,,,,
01/12/92, 0.9900 ,,,,
01/01/93, 1.2600 ,,,,
01/02/93, 1.1200 ,,,,
01/03/93, 1.0100 ,,,,
01/04/93, 0.6700 ,,,,
01/05/93, 0.4400 ,,,,
01/06/93, 0.4300 ,,,,
01/07/93, 0.4100 ,,,,
01/08/93, 0.6400 ,,,,
01/09/93, 0.7900 ,,,,
01/10/93, 0.5900 ,,,,
01/11/93, 0.3600 ,,,,
01/12/93, 0.3700 ,,,,
01/01/94, 0.6600 ,,,,
01/02/94, 0.8400 ,,,,
01/03/94, 0.7400 ,,,,
01/04/94, 0.6300 ,,,,
01/05/94, 0.5700 ,,,,
01/06/94, 0.5200 ,,,,
01/07/94, 0.3500 ,,,,
01/08/94, 0.5000 ,,,,
01/09/94, 0.8100 ,,,,
01/10/94, 0.5100 ,,,,
01/11/94, 0.5200 ,,,,
01/12/94, 0.7800 ,,,,
01/01/95, 3.7000 , 254.5724 , 767.8930 ,,
01/02/95, 4.5700 , 248.0605 , 755.2670 ,,
01/03/95, 4.7300 , 287.3645 , 894.6020 ,,
01/04/95, 7.5800 , 298.9135 , 919.7670 ,,
01/05/95, 4.9400 , 357.7396 ," 1,132.7110 ",,
01/06/95, 3.4100 , 352.3695 ," 1,026.2960 ",,
01/07/95, 2.0900 , 342.8993 , 986.8470 ,,
01/08/95, 1.8600 , 362.2739 ," 1,015.4160 ",,
01/09/95, 2.3400 , 314.1492 , 940.4230 ,,
01/10/95, 1.7500 , 324.5033 ," 1,099.2050 ",,
01/11/95, 2.0400 , 255.5922 , 814.0540 ,,
01/12/95, 2.8100 , 274.2883 , 910.6710 ,,
01/01/96, 3.2400 , 313.5091 , 960.9390 ,,
01/02/96, 2.3700 , 281.9257 , 903.7410 ,,
01/03/96, 2.3300 , 337.3185 ," 1,057.3130 ",,
01/04/96, 2.7500 , 393.3877 ," 1,204.2580 ",,
01/05/96, 1.8200 , 413.5420 ," 1,336.1390 ",,
01/06/96, 1.7200 , 365.2451 ," 1,126.7570 ",,
01/07/96, 1.5000 , 373.6705 ," 1,150.9110 ",,
01/08/96, 1.3500 , 386.0666 ," 1,244.6010 ",,
01/09/96, 1.7500 , 339.2533 ," 1,046.6660 ",,
01/10/96, 1.1300 , 348.9010 ," 1,120.6430 ",,
01/11/96, 1.2000 , 315.6016 , 952.5880 ,,
