IPC,re_USD,re_MXN,V_P1,V_P2,Fecha
3.85,1839.328848931154,5586.655841782948,0.0016794159874705555,1679.683490281594,01/01/90
1.84,1839.6636688832177,5588.78528907424,0.001678224734721459,1678.326132124827,01/02/90
1.53,1839.7153077812973,5589.113711293296,0.0016780410091730912,1678.1167883295034,01/03/90
1.96,1839.6436796323483,5588.65815789267,0.0016782958542885696,1678.4071684326932,01/04/90
2.31,1839.5853776506451,5588.287358613091,0.0016785032863593074,1678.6435243306382,01/05/90
2.51,1839.5520622325294,5588.075473310475,0.0016786218189711577,1678.7785848437488,01/06/90
2.0,1839.6370165487247,5588.615780832147,0.00167831956081094,1678.4341805353156,01/07/90
1.81,1839.6686661959357,5588.817071869634,0.0016782069548296815,1678.3058730478588,01/08/90
1.63,1839.6986500722392,5589.007768641986,0.0016781002754790162,1678.1843185860598,01/09/90
1.61,1839.7019816140514,5589.02895717225,0.001678088422217832,1678.170812534749,01/10/90
2.16,1839.610364214233,5588.446272590056,0.0016784143869004195,1678.5422289458043,01/11/90
2.85,1839.4954260217328,5587.715268296029,0.0016788233244113028,1679.008187716037,01/12/90
2.67,1839.5254098980372,5587.905965068383,0.001678716645060638,1678.8866332542384,01/01/91
1.94,1839.6470111741592,5588.67934642293,0.0016782840010273851,1678.3936623813825,01/02/91
1.49,1839.7219708649204,5589.156088353818,0.0016780173026507217,1678.089776226882,01/03/91
1.09,1839.788601701152,5589.57985895905,0.0016777802374270201,1677.8196552006593,01/04/91
0.95,1839.8119224938328,5589.728178670882,0.0016776972645987263,1677.7251128414814,01/05/91
0.95,1839.8119224938328,5589.728178670882,0.0016776972645987263,1677.7251128414814,01/06/91
0.89,1839.8219171192682,5589.791744261668,0.0016776617048151698,1677.6845946875483,01/07/91
0.91,1839.8185855774564,5589.770555731405,0.001677673558076354,1677.69810073886,01/08/91
1.39,1839.7386285739785,5589.262031005126,0.0016779580363447955,1678.0222459703264,01/09/91
1.38,1839.7402943448842,5589.272625270258,0.0016779521097142027,1678.0154929446703,01/10/91
0.95,1839.8119224938328,5589.728178670882,0.0016776972645987263,1677.7251128414814,01/11/91
1.78,1839.6736635086522,5588.848854665025,0.0016781891749379034,1678.285613970892,01/12/91
1.85,1839.6620031123116,5588.774694809108,0.0016782306613520519,1678.3328851504825,01/01/92
1.1,1839.7869359302458,5589.569264693919,0.0016777861640576122,1677.8264082263145,01/02/92
0.91,1839.8185855774564,5589.770555731405,0.001677673558076354,1677.69810073886,01/03/92
0.93,1839.8152540356446,5589.749367201143,0.0016776854113375397,1677.7116067901698,01/04/92
1.22,1839.7669466793768,5589.442133512351,0.001677857283624723,1677.9074445341816,01/05/92
0.99,1839.80525941021,5589.685801610359,0.001677720971121095,1677.7521249441038,01/06/92
0.82,1839.8335775156083,5589.865904117582,0.0016776202184010237,1677.637323507959,01/07/92
0.87,1839.825248661079,5589.812932791928,0.0016776498515539853,1677.6710886362362,01/08/92
1.12,1839.7836043884345,5589.548076163658,0.0016777980173187984,1677.8399142776257,01/09/92
0.67,1839.8585640791948,5590.024818094543,0.001677531318942135,1677.536028123127,01/10/92
0.71,1839.8519009955721,5589.982441034022,0.0016775550254645045,1677.5630402257484,01/11/92
