T,Q
1.0,-1578970.7688456406
2.0,-1561516.775326921
3.0,-1544062.7818082015
4.0,-1526608.788289482
5.0,-1509154.7947707626
6.0,-1491700.8012520429
7.0,-1474246.8077333234
8.0,-1456792.814214604
9.0,-1439338.8206958845
10.0,-1421884.8271771648
11.0,-1404430.8336584454
12.0,-1386976.840139726
13.0,-1369522.8466210063
14.0,-1352068.8531022868
15.0,-1334614.8595835674
16.0,-1317160.866064848
17.0,-1299706.8725461282
18.0,-1282252.8790274088
19.0,-1264798.8855086893
20.0,-1247344.8919899696
21.0,-1229890.8984712502
22.0,-1212436.9049525307
23.0,-1194982.9114338113
24.0,-1177528.9179150916
25.0,-1160074.9243963722
26.0,-1142620.9308776527
27.0,-1125166.937358933
28.0,-1107712.9438402136
29.0,-1090258.9503214941
30.0,-1072804.9568027747
31.0,-1055350.9632840552
32.0,-1037896.9697653356
33.0,-1020442.976246616
34.0,-1002988.9827278965
35.0,-985534.989209177
36.0,-968080.9956904575
37.0,-950627.002171738
38.0,-933173.0086530185
39.0,-915719.0151342989
40.0,-898265.0216155795
41.0,-880811.0280968599
42.0,-863357.0345781404
43.0,-845903.0410594209
44.0,-828449.0475407013
45.0,-810995.0540219819
46.0,-793541.0605032623
47.0,-776087.0669845429
48.0,-758633.0734658233
49.0,-741179.0799471037
50.0,-723725.0864283843
51.0,-706271.0929096647
52.0,-688817.0993909453
53.0,-671363.1058722257
54.0,-653909.1123535063
55.0,-636455.1188347867
56.0,-619001.1253160671
57.0,-601547.1317973477
58.0,-584093.1382786281
59.0,-566639.1447599087
60.0,-549185.1512411891
61.0,-531731.1577224697
62.0,-514277.1642037502
63.0,-496823.1706850305
64.0,-479369.17716631107
65.0,-461915.1836475916
66.0,-444461.19012887194
67.0,-427007.1966101525
68.0,-409553.20309143304
69.0,-392099.2095727136
70.0,-374645.2160539939
71.0,-357191.22253527446
72.0,-339737.229016555
73.0,-322283.2354978353
74.0,-304829.2419791159
75.0,-287375.2484603964
76.0,-269921.254941677
77.0,-252467.2614229573
78.0,-235013.26790423784
79.0,-217559.2743855184
80.0,-200105.28086679894
81.0,-182651.28734807926
82.0,-165197.2938293598
83.0,-147743.30031064036
84.0,-130289.30679192068
85.0,-112835.31327320123
86.0,-95381.31975448178
87.0,-77927.32623576233
88.0,-60473.33271704265
89.0,-43019.3391983232
90.0,-25565.34567960375
91.0,-8111.352160884067
92.0,9342.641357835382
93.0,26796.634876554832
94.0,44250.62839527428
95.0,61704.621913993964
96.0,79158.61543271341
97.0,859243.0
98.0,859926.0
99.0,873753.0
100.0,884236.0
101.0,911856.0
102.0,930207.0
103.0,941157.0
104.0,961272.0
105.0,987591.0
106.0,1007081.0
107.0,1017362.0
108.0,1050252.0
109.0,1073639.0
110.0,1089185.0
111.0,1116170.0
112.0,1130848.0
113.0,1145063.0
114.0,1170534.0
115.0,1187027.0
116.0,1205367.0
117.0,1217403.0
118.0,1238771.0
119.0,1256103.0
120.0,1295420.0
121.0,1306034.0
122.0,1289329.0
123.0,1289422.0
124.0,1272936.0
125.0,1264141.0
126.0,1273678.0
127.0,1251921.0
128.0,1242100.0
129.0,1250784.0
130.0,1240125.0
131.0,1226453.0
132.0,1246629.0
133.0,1245035.0
134.0,1235294.0
135.0,1242770.0
136.0,1253560.0
137.0,1244589.0
138.0,1239661.0
139.0,1268538.0
140.0,1286451.0
141.0,1298489.0
142.0,1172998.0
143.0,1169934.0
144.0,1215519.0
145.0,1180836.0
146.0,1151058.0
147.0,1149807.0
148.0,1142606.0
149.0,1155391.0
150.0,1158807.0
151.0,1167328.0
152.0,1153215.0
153.0,1148671.0
154.0,1150773.0
155.0,1152227.0
156.0,1206988.0
157.0,1175591.0
158.0,1190062.0
159.0,1210752.0
160.0,1181609.0
161.0,1176870.0
162.0,1191289.0
163.0,1199317.0
164.0,1195975.0
165.0,1215357.0
166.0,1231298.0
167.0,1236910.0
168.0,1309140.0
169.0,1260940.0
170.0,1227893.0
171.0,1259923.0
172.0,1295448.0
173.0,1312425.0
174.0,1314657.0
175.0,1278249.0
176.0,1279566.0
177.0,1286240.0
178.0,1294994.0
179.0,1329386.0
180.0,1400813.0
181.0,1350363.0
182.0,1323561.0
183.0,1339350.0
184.0,1367770.0
185.0,1394120.0
186.0,1395252.0
187.0,1387626.0
188.0,1402909.0
189.0,1408653.0
190.0,1410521.0
191.0,1415127.0
192.0,1476822.0
193.0,1446518.0
194.0,1426261.0
195.0,1443196.0
196.0,1471915.0
197.0,1453649.0
198.0,1496683.0
199.0,1464156.0
200.0,1455295.0
201.0,1432411.0
202.0,1456055.0
203.0,1471605.0
204.0,1553996.0
205.0,1520451.0
206.0,1494226.0
207.0,1511492.0
208.0,1528005.0
209.0,1552577.0
210.0,1560967.0
211.0,1565957.0
212.0,1585550.0
213.0,1612034.0
214.0,1635128.0
215.0,1666594.0
216.0,1748637.0
217.0,1753721.0
218.0,1748892.0
219.0,1781407.0
220.0,1796574.0
221.0,1826797.0
222.0,1834711.0
223.0,1860593.0
224.0,1857829.0
225.0,1876686.0
226.0,2023459.0
227.0,2104364.0
228.0,2171850.0
229.0,2109329.0
230.0,2071208.0
231.0,2050728.0
232.0,2065900.0
233.0,2083054.0
234.0,2067189.0
235.0,2034525.0
236.0,1989330.0
237.0,2000936.0
238.0,2005755.0
239.0,2004971.0
240.0,2112489.0
241.0,2087082.0
242.0,2013580.0
243.0,2030731.0
244.0,2021611.0
245.0,2057038.0
246.0,2095807.0
247.0,2117621.0
