enrollee_id,city_development,relevant_experience,enrolled_university,education_level,training_hours,target
8949.0,0.92,1.0,0.0,3.0,36.0,1.0
29725.0,0.7759999999999999,0.0,0.0,3.0,47.0,0.0
11561.0,0.624,0.0,1.0,3.0,83.0,0.0
33241.0,0.789,0.0,0.5710019178838128,3.0,52.0,1.0
21651.0,0.764,1.0,1.0,3.0,24.0,1.0
28806.0,0.92,1.0,0.0,2.0,24.0,0.0
402.0,0.762,1.0,0.0,3.0,18.0,1.0
27107.0,0.92,1.0,0.0,3.0,46.0,1.0
699.0,0.92,1.0,0.0,3.0,123.0,0.0
29452.0,0.624,0.0,1.0,2.0,32.0,1.0
23853.0,0.92,1.0,0.0,3.0,108.0,0.0
25619.0,0.913,1.0,0.0,3.0,23.0,0.0
5826.0,0.624,0.0,0.5660187828368197,2.8728414228835923,24.0,0.0
8722.0,0.624,0.0,1.0,2.0,26.0,0.0
6588.0,0.926,1.0,0.0,3.0,18.0,0.0
4167.0,0.92,1.0,0.0,3.0,106.0,0.0
5764.0,0.624,1.0,0.0,3.0,7.0,0.0
2156.0,0.624,1.0,0.0,3.0,23.0,1.0
31972.0,0.843,1.0,0.0,4.0,68.0,0.0
19061.0,0.926,1.0,0.0,4.0,50.0,0.0
6491.0,0.804,1.0,0.0,4.0,48.0,0.0
7041.0,0.7759999999999999,1.0,0.0,3.0,65.0,0.0
22767.0,0.624,1.0,0.0,3.0,13.0,0.0
14505.0,0.855,0.0,0.0,2.0,22.0,0.0
17139.0,0.624,1.0,1.0,3.0,148.0,1.0
28476.0,0.92,1.0,0.0,3.0,72.0,0.0
21538.0,0.887,1.0,0.0,2.0,8.0,1.0
10408.0,0.624,1.0,0.0,3.0,68.0,1.0
14928.0,0.92,1.0,0.0,3.0,40.0,0.0
22293.0,0.92,1.0,1.0,3.0,141.0,0.0
4324.0,0.92,0.0,1.0,3.0,24.0,0.0
26966.0,0.92,1.0,0.0,3.0,82.0,0.0
26494.0,0.91,1.0,0.0,3.0,145.0,0.0
4866.0,0.92,1.0,0.0,3.0,206.0,0.0
10164.0,0.926,1.0,0.0,5.0,42.0,1.0
24659.0,0.884,0.0,0.0,2.9461405288454525,106.0,0.0
2547.0,0.926,1.0,1.0,4.0,14.0,0.0
13854.0,0.924,1.0,0.0,2.0,36.0,0.0
31654.0,0.624,1.0,0.0,4.0,112.0,1.0
13643.0,0.6659999999999999,0.0,0.0,3.0,108.0,0.0
5590.0,0.624,1.0,1.0,4.0,7.0,1.0
22452.0,0.624,0.0,1.0,4.0,26.0,1.0
5568.0,0.5579999999999999,0.0,0.0,3.0,92.0,1.0
2195.0,0.6659999999999999,1.0,0.0,3.0,102.0,0.0
30533.0,0.794,0.0,0.0,3.0,26.0,0.0
1023.0,0.926,0.0,1.0,2.0,43.0,0.0
12253.0,0.924,1.0,0.0,3.0,45.0,0.0
