T,Q
 1.00 ,
 2.00 ,
 3.00 ,
 4.00 ,
 5.00 ,
 6.00 ,
 7.00 ,
 8.00 ,
 9.00 ,
 10.00 ,
 11.00 ,
 12.00 ,
 13.00 ,
 14.00 ,
 15.00 ,
 16.00 ,
 17.00 ,
 18.00 ,
 19.00 ,
 20.00 ,
 21.00 ,
 22.00 ,
 23.00 ,
 24.00 ,
 25.00 ,
 26.00 ,
 27.00 ,
 28.00 ,
 29.00 ,
 30.00 ,
 31.00 ,
 32.00 ,
 33.00 ,
 34.00 ,
 35.00 ,
 36.00 ,
 37.00 ,
 38.00 ,
 39.00 ,
 40.00 ,
 41.00 ,
 42.00 ,
 43.00 ,
 44.00 ,
 45.00 ,
 46.00 ,
 47.00 ,
 48.00 ,
 49.00 ,
 50.00 ,
 51.00 ,
 52.00 ,
 53.00 ,
 54.00 ,
 55.00 ,
 56.00 ,
 57.00 ,
 58.00 ,
 59.00 ,
 60.00 ,
 61.00 ,
 62.00 ,
 63.00 ,
 64.00 ,
 65.00 ,
 66.00 ,
 67.00 ,
 68.00 ,
 69.00 ,
 70.00 ,
 71.00 ,
 72.00 ,
 73.00 ,
 74.00 ,
 75.00 ,
 76.00 ,
 77.00 ,
 78.00 ,
 79.00 ,
 80.00 ,
 81.00 ,
 82.00 ,
 83.00 ,
 84.00 ,
 85.00 ,
 86.00 ,
 87.00 ,
 88.00 ,
 89.00 ,
 90.00 ,
 91.00 ,
 92.00 ,
 93.00 ,
 94.00 ,
 95.00 ,
 96.00 ,
 97.00 ," 859,243.00 "
 98.00 ," 859,926.00 "
 99.00 ," 873,753.00 "
 100.00 ," 884,236.00 "
 101.00 ," 911,856.00 "
 102.00 ," 930,207.00 "
 103.00 ," 941,157.00 "
 104.00 ," 961,272.00 "
 105.00 ," 987,591.00 "
 106.00 ," 1,007,081.00 "
 107.00 ," 1,017,362.00 "
 108.00 ," 1,050,252.00 "
 109.00 ," 1,073,639.00 "
 110.00 ," 1,089,185.00 "
 111.00 ," 1,116,170.00 "
 112.00 ," 1,130,848.00 "
 113.00 ," 1,145,063.00 "
 114.00 ," 1,170,534.00 "
 115.00 ," 1,187,027.00 "
 116.00 ," 1,205,367.00 "
 117.00 ," 1,217,403.00 "
 118.00 ," 1,238,771.00 "
 119.00 ," 1,256,103.00 "
 120.00 ," 1,295,420.00 "
 121.00 ," 1,306,034.00 "
 122.00 ," 1,289,329.00 "
 123.00 ," 1,289,422.00 "
 124.00 ," 1,272,936.00 "
 125.00 ," 1,264,141.00 "
 126.00 ," 1,273,678.00 "
 127.00 ," 1,251,921.00 "
 128.00 ," 1,242,100.00 "
 129.00 ," 1,250,784.00 "
 130.00 ," 1,240,125.00 "
 131.00 ," 1,226,453.00 "
 132.00 ," 1,246,629.00 "
 133.00 ," 1,245,035.00 "
 134.00 ," 1,235,294.00 "
 135.00 ," 1,242,770.00 "
 136.00 ," 1,253,560.00 "
