T,Q
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,859243
98,859926
99,873753
100,884236
101,911856
102,930207
103,941157
104,961272
105,987591
106,1007081
107,1017362
108,1050252
109,1073639
110,1089185
111,1116170
112,1130848
113,1145063
114,1170534
115,1187027
116,1205367
117,1217403
118,1238771
119,1256103
120,1295420
121,1306034
122,1289329
123,1289422
124,1272936
125,1264141
126,1273678
127,1251921
128,1242100
129,1250784
130,1240125
131,1226453
132,1246629
133,1245035
134,1235294
135,1242770
136,1253560
137,1244589
138,1239661
139,1268538
140,1286451
141,1298489
142,1172998
143,1169934
144,1215519
145,1180836
146,1151058
147,1149807
148,1142606
149,1155391
150,1158807
151,1167328
152,1153215
153,1148671
154,1150773
155,1152227
156,1206988
157,1175591
158,1190062
159,1210752
160,1181609
161,1176870
162,1191289
163,1199317
164,1195975
165,1215357
166,1231298
167,1236910
168,1309140
169,1260940
170,1227893
171,1259923
172,1295448
173,1312425
174,1314657
175,1278249
176,1279566
177,1286240
178,1294994
179,1329386
180,1400813
181,1350363
182,1323561
183,1339350
184,1367770
185,1394120
186,1395252
187,1387626
188,1402909
189,1408653
190,1410521
191,1415127
192,1476822
193,1446518
194,1426261
195,1443196
196,1471915
197,1453649
198,1496683
199,1464156
200,1455295
201,1432411
202,1456055
203,1471605
204,1553996
205,1520451
206,1494226
207,1511492
208,1528005
209,1552577
210,1560967
211,1565957
212,1585550
213,1612034
214,1635128
215,1666594
216,1748637
217,1753721
218,1748892
219,1781407
220,1796574
221,1826797
222,1834711
223,1860593
224,1857829
225,1876686
226,2023459
227,2104364
228,2171850
229,2109329
230,2071208
231,2050728
232,2065900
233,2083054
234,2067189
235,2034525
236,1989330
237,2000936
238,2005755
239,2004971
240,2112489
241,2087082
242,2013580
243,2030731
244,2021611
245,2057038
246,2095807
247,2117621
248,2103471
249,2127975
250,2144807
251,2162729
252,2271054
253,2246267
254,2247830
255,2259907
256,2286552
257,2303341
258,2327177
259,2366330
260,2379566
261,2405340
262,2457893
263,2438391
264,2538076
265,2511664
266,2465166
267,2471397
268,2501885
269,2523816
270,2565664
271,2573505
272,2552234
273,2568026
274,2571856
275,2617719
276,2747977
277,2687094
278,2657531
279,2671135
280,2626507
281,2652582
282,2714674
283,2727995
284,2747034
285,2772916
286,2800716
287,2864941
288,3007911
289,2941071
290,2905010
291,2927049
292,2943178
293,2958288
294,3007283
295,3052660
296,3074545
297,3071306
298,3094237
299,3165558
300,3311848
301,3265330
302,3261352
303,3293063
304,3313669
305,3362581
306,3390966
307,3410645
308,3419460
309,3436516
310,3432527
311,3485384
312,3632087
313,3629139
314,3595637
315,3627317
316,3665736
317,3742775
318,3793373
319,3814253
320,3794299
321,3836236
322,3865101
323,3917385
324,4047011
325,3997885
326,3956271
327,3985624
328,4064284
329,4098674
330,4145038
331,4150096
332,4157370
333,4201609
334,4237707
335,4270165
336,4437940
337,4378690
338,4381669
339,4436566
340,4423972
341,4480022
342,4538051
343,4568103
344,4615969
345,4638717
346,4658007
347,4755148
348,4883340
349,4808289
350,4786815
351,4847492
352,4910437
353,4920918
354,4996718
355,5013439
356,5046360
357,5060266
358,5020475
359,5068964
360,5205197
361,5177775
362,5111472
363,5326742
364,5564103
365,5661079
366,5674113
367,5696847
368,5654571
369,5615187
370,5567717
371,5613222
372,5739600
373,5622088
374,5575266
375,5639778
376,5602725
377,5603036
378,5644682
379,5679891
380,5635854
381,5644148
382,5648448
383,5774049
384,6008711
385,5858583
386,5865064
387,5993480
388,5950723
389,6031851
390,6136943
391,6231254
392,6222564
393,6216892
394,6251578
395,6375541
396,6591536
